ID,Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
25382,1,1,17/10/2018,30-341,ORL,,MIA,W (+3),1,22:16,4,10,0.4,1,2,0.5,2,2,1,0,1,1,2,1,0,0,1,11,7.9,-8
25382,2,2,19/10/2018,30-343,ORL,,CHO,L (-32),1,20:54,1,5,0.2,0,2,0,0,0,,1,0,1,2,0,0,2,0,2,-1,-24
25382,3,3,20/10/2018,30-344,ORL,@,PHI,L (-1),1,34:32:00,2,7,0.286,0,2,0,5,5,1,1,2,3,9,0,0,2,0,9,10.5,23
25382,4,4,22/10/2018,30-346,ORL,@,BOS,W (+3),1,29:43:00,3,13,0.231,3,7,0.429,1,2,0.5,0,3,3,10,0,0,2,1,10,7.2,12
25382,5,5,25/10/2018,30-349,ORL,,POR,L (-14),1,26:55:00,3,4,0.75,2,2,1,1,1,1,0,1,1,3,1,0,1,4,9,8.2,-8
25382,6,6,27/10/2018,30-351,ORL,@,MIL,L (-22),1,21:36,4,9,0.444,3,8,0.375,0,0,,0,1,1,4,0,0,0,0,11,9.4,-6
25382,7,7,30/10/2018,30-354,ORL,,SAC,L (-8),1,26:37:00,2,7,0.286,2,6,0.333,2,2,1,2,2,4,3,1,0,1,3,8,6.8,-10
25382,8,8,2/11/2018,30-357,ORL,,LAC,L (-25),1,27:00:00,5,10,0.5,1,1,1,2,2,1,2,3,5,3,0,0,0,0,13,12.4,-9
25382,9,9,4/11/2018,30-359,ORL,@,SAS,W (+7),1,32:31:00,6,10,0.6,1,3,0.333,5,6,0.833,3,2,5,7,0,0,1,3,18,18.4,8
25382,10,10,5/11/2018,30-360,ORL,,CLE,W (+2),1,26:37:00,1,2,0.5,1,2,0.5,4,4,1,0,1,1,4,2,0,2,1,7,8.7,-4
25382,11,11,7/11/2018,30-362,ORL,,DET,L (-7),1,30:59:00,6,10,0.6,3,6,0.5,1,1,1,1,2,3,7,0,0,0,0,16,17.6,15
25382,12,12,9/11/2018,30-364,ORL,,WAS,W (+9),1,25:04:00,2,5,0.4,2,5,0.4,5,6,0.833,0,2,2,4,1,0,2,0,11,10.3,4
25382,13,13,11/11/2018,31-001,ORL,@,NYK,W (+26),1,23:42,3,7,0.429,3,5,0.6,0,0,,0,2,2,2,3,0,1,0,9,9.3,17
25382,14,14,12/11/2018,31-002,ORL,@,WAS,L (-8),1,31:21:00,6,10,0.6,3,5,0.6,0,1,0,0,1,1,4,0,0,1,3,15,10.9,-2
25382,15,15,14/11/2018,31-004,ORL,,PHI,W (+5),1,31:10:00,1,6,0.167,0,3,0,2,3,0.667,0,0,0,9,0,0,0,1,4,5.7,3
25382,16,16,17/11/2018,31-007,ORL,,LAL,W (+13),1,27:07:00,7,9,0.778,3,3,1,5,5,1,0,1,1,7,0,0,2,2,22,20.9,9
25382,17,17,18/11/2018,31-008,ORL,,NYK,W (+14),1,27:39:00,3,4,0.75,2,2,1,4,5,0.8,0,3,3,7,0,0,2,5,12,11.8,17
25382,18,18,20/11/2018,31-010,ORL,,TOR,L (-2),1,26:07:00,2,6,0.333,1,3,0.333,0,0,,0,2,2,5,0,0,0,0,5,5.7,9
25382,19,19,23/11/2018,31-013,ORL,@,DEN,L (-25),1,24:06:00,1,5,0.2,1,4,0.25,1,2,0.5,0,1,1,4,0,0,1,1,4,2.2,-21
25382,20,20,25/11/2018,31-015,ORL,@,LAL,W (+4),1,29:03:00,5,9,0.556,1,4,0.25,1,1,1,2,3,5,9,0,0,1,0,12,15.3,9
25382,22,22,28/11/2018,31-018,ORL,@,POR,L (-3),1,22:56,3,6,0.5,2,3,0.667,2,2,1,0,0,0,5,0,0,0,1,10,10.1,2
25382,23,23,30/11/2018,31-020,ORL,@,PHO,W (+14),1,28:44:00,6,9,0.667,1,3,0.333,3,3,1,1,2,3,6,0,0,2,0,16,15.6,9
25382,24,24,4/12/2018,31-024,ORL,@,MIA,W (+15),1,28:08:00,3,11,0.273,2,6,0.333,3,3,1,0,2,2,5,0,0,2,2,11,5.8,21
