,Year,Player,Pos,Age,Tm,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,3PA/G
25403,2019.0,Malik Beasley,SG,22.0,DEN,81.0,18.0,1879.0,14.2,0.599,0.55,0.09,2.0,9.5,5.8,7.5,1.4,0.5,6.7,18.7,2.9,1.6,4.5,0.115,1.4,-1.9,-0.5,0.7,349.0,737.0,0.474,163.0,405.0,0.402,186.0,332.0,0.56,0.584,56.0,66.0,0.848,35.0,165.0,200.0,97.0,55.0,10.0,55.0,116.0,917.0,5.0
25410,2019.0,Davis Bertans,PF,26.0,SAS,76.0,12.0,1632.0,13.0,0.632,0.746,0.132,1.6,16.0,8.8,8.2,1.0,1.7,8.2,14.1,2.6,1.5,4.0,0.11800000000000001,1.6,-0.4,1.2,1.3,204.0,453.0,0.45,145.0,338.0,0.429,59.0,115.0,0.513,0.61,53.0,60.0,0.883,23.0,241.0,264.0,100.0,35.0,33.0,43.0,133.0,606.0,4.447368421052632
25419,2019.0,Bojan Bogdanovic,SF,29.0,IND,81.0,81.0,2573.0,16.1,0.613,0.36700000000000005,0.29,1.5,12.7,7.2,9.5,1.3,0.0,10.2,22.4,3.9,2.8,6.8,0.126,1.4,-1.4,0.0,1.3,522.0,1051.0,0.49700000000000005,164.0,386.0,0.425,358.0,665.0,0.5379999999999999,0.575,246.0,305.0,0.807,33.0,300.0,333.0,161.0,69.0,1.0,134.0,138.0,1454.0,4.765432098765432
25514,2019.0,Stephen Curry,PG,30.0,GSW,69.0,69.0,2331.0,24.4,0.6409999999999999,0.604,0.214,2.2,14.2,8.4,24.2,1.9,0.9,11.6,30.4,7.2,2.5,9.7,0.19899999999999998,7.7,-1.4,6.3,4.9,632.0,1340.0,0.47200000000000003,354.0,810.0,0.43700000000000006,278.0,530.0,0.525,0.604,263.0,287.0,0.9159999999999999,45.0,324.0,369.0,361.0,92.0,25.0,192.0,166.0,1881.0,11.73913043478261
25575,2019.0,Bryn Forbes,SG,25.0,SAS,82.0,81.0,2293.0,12.0,0.586,0.522,0.099,0.9,10.4,5.7,10.6,1.0,0.1,8.8,17.4,2.5,1.3,3.8,0.079,1.0,-1.7,-0.7,0.7,361.0,791.0,0.456,176.0,413.0,0.426,185.0,378.0,0.489,0.568,69.0,78.0,0.885,18.0,221.0,239.0,175.0,45.0,4.0,80.0,159.0,967.0,5.036585365853658
25585,2019.0,Danilo Gallinari,SF,30.0,LAC,68.0,68.0,2059.0,21.0,0.633,0.42100000000000004,0.45899999999999996,2.9,18.1,10.7,13.2,1.1,0.9,8.5,23.8,6.4,1.8,8.2,0.191,4.2,-1.2,2.9,2.6,409.0,884.0,0.46299999999999997,161.0,372.0,0.433,248.0,512.0,0.484,0.5539999999999999,367.0,406.0,0.904,54.0,363.0,417.0,178.0,49.0,23.0,99.0,129.0,1346.0,5.470588235294118
25609,2019.0,Danny Green,SG,31.0,TOR,80.0,80.0,2216.0,13.0,0.632,0.69,0.07,3.0,12.2,7.7,7.7,1.6,2.0,10.4,14.1,3.0,2.9,5.9,0.128,1.7,1.2,2.9,2.7,293.0,630.0,0.465,198.0,435.0,0.455,95.0,195.0,0.48700000000000004,0.622,37.0,44.0,0.841,60.0,257.0,317.0,126.0,73.0,53.0,75.0,171.0,821.0,5.4375
25627,2019.0,Joe Harris,SG,27.0,BRK,76.0,76.0,2293.0,13.5,0.645,0.516,0.17800000000000002,2.4,10.9,6.7,11.9,0.8,0.6,13.0,17.0,3.8,1.7,5.5,0.11599999999999999,1.4,-0.5,1.0,1.7,374.0,748.0,0.5,183.0,386.0,0.474,191.0,362.0,0.528,0.622,110.0,133.0,0.8270000000000001,52.0,239.0,291.0,181.0,38.0,17.0,121.0,182.0,1041.0,5.078947368421052
25629,2019.0,Tobias Harris,PF,26.0,LAC,55.0,55.0,1903.0,18.2,0.605,0.302,0.256,2.1,21.3,12.0,12.5,1.0,1.0,10.3,23.5,3.2,1.8,5.0,0.127,1.6,-0.5,1.1,1.5,424.0,855.0,0.496,112.0,258.0,0.434,312.0,597.0,0.523,0.561,192.0,219.0,0.877,37.0,395.0,432.0,150.0,40.0,24.0,109.0,123.0,1152.0,4.6909090909090905
25645,2019.0,Buddy Hield,SG,26.0,SAC,82.0,82.0,2615.0,17.5,0.5870000000000001,0.479,0.142,4.1,12.4,8.1,11.9,1.0,1.1,9.2,25.1,4.3,1.6,5.9,0.10800000000000001,3.1,-2.0,1.1,2.1,623.0,1360.0,0.45799999999999996,278.0,651.0,0.42700000000000005,345.0,709.0,0.48700000000000004,0.56,171.0,193.0,0.8859999999999999,106.0,306.0,412.0,205.0,58.0,33.0,146.0,202.0,1695.0,7.939024390243903
25664,2019.0,Danuel House,SF,25.0,HOU,39.0,13.0,979.0,12.2,0.6459999999999999,0.706,0.282,2.8,13.3,7.9,5.9,1.1,1.0,11.0,14.1,1.6,0.7,2.3,0.113,0.4,-1.1,-0.6,0.3,118.0,252.0,0.46799999999999997,74.0,178.0,0.41600000000000004,44.0,74.0,0.595,0.615,56.0,71.0,0.789,25.0,115.0,140.0,40.0,21.0,11.0,35.0,80.0,366.0,4.564102564102564
