[0511/045628.059:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0511/070310.702:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0511/071511.059:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0511/071945.068:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0511/074019.037:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0511/074135.038:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0511/074435.039:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0511/075348.039:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0511/075357.270:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0511/075445.677:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0511/080137.061:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0511/080427.053:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0511/081334.058:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0511/081346.069:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0511/151533.060:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
