,Link,Num of Applicants,Opening Date,Closing Date,Company Name,Writeup,Location,Job Title,Employment Type,Seniority,Job Category,Salary,Salary Frequency,Responsibilities,Requirements
0,,['0 application'],['Posted 07 May 2019'],['Closing on 06 Jun 2019'],['LOURDES GAVIN PTE. LTD.'],"['\n\tLOURDES GAVIN PTE. LTD.', '\n\tLOURDES GAVIN PTE. LTD.']","['SAMSUNG HUB, 3 CHURCH STREET 049483']",['Consumer & Marketing Insights Analyst (Neuroscience Practices and Analysis)'],['Full Time'],['Executive'],"['Consulting , Marketing / Public Relations ']",[],['Monthly'],[],['  ']
1,,['8 applications'],['Posted 07 May 2019'],['Closing on 06 Jun 2019'],['LOURDES GAVIN PTE. LTD.'],"['\n\tLOURDES GAVIN PTE. LTD.', '\n\tLOURDES GAVIN PTE. LTD.']","['SAMSUNG HUB, 3 CHURCH STREET 049483']",['Analytical Chemist (flavour / Chromatography)'],['Full Time'],['Executive'],['Sciences / Laboratory / R&D'],[],['Monthly'],[],['  ']
2,,['1 application'],['Posted 07 May 2019'],['Closing on 06 Jun 2019'],['LOURDES GAVIN PTE. LTD.'],"['\n\tLOURDES GAVIN PTE. LTD.', '\n\tLOURDES GAVIN PTE. LTD.']","['SAMSUNG HUB, 3 CHURCH STREET 049483']",['Senior Portfolio Executive (Evaluation / Flavor / Innovation)'],['Full Time'],['Senior Executive'],['Engineering'],[],['Monthly'],[],['  ']
3,,['10 applications'],['Posted 07 May 2019'],['Closing on 06 Jun 2019'],['LOURDES GAVIN PTE. LTD.'],"['\n\tLOURDES GAVIN PTE. LTD.', '\n\tLOURDES GAVIN PTE. LTD.']","['SAMSUNG HUB, 3 CHURCH STREET 049483']",['Demand Planning Analyst (SAP / Demand & Sales Forecast / Statistical tools)'],['Full Time'],['Senior Executive'],['Logistics / Supply Chain'],[],['Monthly'],[],['  ']
4,,['23 applications'],['Posted 05 May 2019'],['Closing on 04 Jun 2019'],['SINGAPORE PRESS HOLDINGS LIMITED'],"['Incorporated in 1984, main board-listed Singapore Press Holdings Ltd (SPH) is Asia’s leading media organisation, engaging minds and enriching lives across multiple languages and platforms.\xa0', ' ', "" SPH's core business is publishing of newspapers, magazines and books in both print and digital editions.\xa0 It also owns\xa0other\xa0digital products,\xa0online classifieds, radio stations and outdoor media.\xa0"", ' ', ' On the property front, SPH owns 70% in a real estate investment trust called SPH REIT which comprises Paragon, a premier upscale retail mall and medical suite/office property in Orchard Road and The Clementi Mall, a mid-market suburban mall. \xa0', ' ', ' SPH also owns and operates The Seletar Mall.\xa0 It\xa0built\xa0an upmarket residential condominium, Sky@eleven, at Thomson Road, and is developing a new commercial cum residential site at Woodleigh Road. It also\xa0has\xa0a stake in Chinatown Point.', 'It is in the aged care sector and owns Orange Valley, Singapore’s largest private nursing home operator.\xa0', 'SPH runs\xa0a regional events and conferences arm,\xa0and a chain of Buzz retail outlets.\xa0\xa0It also invested in the education business.', 'For more information, please visit\xa0www.sph.com.sg', ' \xa0', '\xa0', 'Incorporated in 1984, main board-listed Singapore Press Holdings Ltd (SPH) is Asia’s leading media organisation, engaging minds and enriching lives across multiple languages and platforms.\xa0', ' ', "" SPH's core business is publishing of newspapers, magazines and books in both print and digital editions.\xa0 It also owns\xa0other\xa0digital products,\xa0online classifieds, radio stations and outdoor media.\xa0"", ' ', ' On the property front, SPH owns 70% in a real estate investment trust called SPH REIT which comprises Paragon, a premier upscale retail mall and medical suite/office property in Orchard Road and The Clementi Mall, a mid-market suburban mall. \xa0', ' ', ' SPH also owns and operates The Seletar Mall.\xa0 It\xa0built\xa0an upmarket residential condominium, Sky@eleven, at Thomson Road, and is developing a new commercial cum residential site at Woodleigh Road. It also\xa0has\xa0a stake in Chinatown Point.', 'It is in the aged care sector and owns Orange Valley, Singapore’s largest private nursing home operator.\xa0', 'SPH runs\xa0a regional events and conferences arm,\xa0and a chain of Buzz retail outlets.\xa0\xa0It also invested in the education business.', 'For more information, please visit\xa0www.sph.com.sg', ' \xa0', '\xa0']","['NEWS CENTRE, 1000 TOA PAYOH NORTH 318994']",['IT Service Management Lead'],['Full Time'],['Manager'],['Information Technology'],[],['Monthly'],"['  ', '  ', '  ', '  ', '  ', '  ']",[]
5,,['10 applications'],['Posted 07 May 2019'],['Closing on 06 Jun 2019'],['LOURDES GAVIN PTE. LTD.'],"['\n\tLOURDES GAVIN PTE. LTD.', '\n\tLOURDES GAVIN PTE. LTD.']","['SAMSUNG HUB, 3 CHURCH STREET 049483']",['Purchase Executive (SAP / Materials Planning)'],['Full Time'],['Executive'],['Purchasing / Merchandising'],[],['Monthly'],[],"['  ', '  ']"
6,,['1 application'],['Posted 05 May 2019'],['Closing on 04 Jun 2019'],['THE SUPREME HR ADVISORY PTE. LTD.'],"['THE SUPREME HR ADVISORY PTE. LTD.', 'Here at The Supreme HR Advisory, we pride ourselves on being a vibrant recruitment firm with strong Southeast Asia standing. We believe in customizing our services to cater to your unique needs. We are dedicated, enthusiastic and we take innovative approaches in customizing our services. Our depth of experience enables us to understand each industry’s challenges and provide expert advice on hiring requirements. Our goal is to leverage local knowledge and global expertise to deliver high-quality candidates specifically matched to the requirements of each of our clients worldwide.', 'THE SUPREME HR ADVISORY PTE. LTD.', 'Here at The Supreme HR Advisory, we pride ourselves on being a vibrant recruitment firm with strong Southeast Asia standing. We believe in customizing our services to cater to your unique needs. We are dedicated, enthusiastic and we take innovative approaches in customizing our services. Our depth of experience enables us to understand each industry’s challenges and provide expert advice on hiring requirements. Our goal is to leverage local knowledge and global expertise to deliver high-quality candidates specifically matched to the requirements of each of our clients worldwide.']","['AZ @ PAYA LEBAR, 140 PAYA LEBAR ROAD 409015']",['Assistant Mechanical Designer [Solidwork /  Autocad /  Automation]'],['Full Time'],['Junior Executive'],['Engineering'],[],['Monthly'],[],['  ']
7,,['1 application'],['Posted 05 May 2019'],['Closing on 04 Jun 2019'],['NANYANG TECHNOLOGICAL UNIVERSITY'],"['A research-intensive public university, Nanyang Technological University, Singapore (NTU Singapore) has 33,000 undergraduate and postgraduate students in the colleges of Engineering, Business, Science, and Humanities, Arts and Social Sciences, and its Interdisciplinary Graduate School. NTU’s Lee Kong Chian School of Medicine was established jointly with Imperial College London.', '?', 'In 2018, NTU was placed 12th globally in the Quacquarelli Symonds (QS) World University Rankings. It was also ranked the world’s best young university (under 50 years old) by QS for the fifth consecutive year. In addition, NTU was named the world’s fastest rising young university by Times Higher Education in 2015.', 'In engineering and technology, NTU is ranked 5th worldwide in the QS World University Rankings by Subject 2018. With six schools, NTU’s College of Engineering is among the top nine globally for research output and the 5th most cited in the world (Essential Science Indicators 2017).\xa0?', 'Mirroring this success is the College of Science, whose young chemistry department is ranked 10th among universities in the Nature Index 2018. Boosted by research at the Lee Kong Chian School of Medicine, NTU is also strengthening its foothold in areas such as biomedicine and life sciences.', 'The well-established Nanyang Business School is regularly featured among the leading business schools in Asia, with its MBA programme consistently rated top in Singapore since 2004 by The Economist.', ""\nIn higher education, NTU is driving new pedagogies so that millennials can learn more effectively in this digital age. Part of NTU's education strategy is the flipped classroom model of learning. The centrepiece of this new way of learning is The Hive, a groundbreaking learning facility that has been described by CNN as having redefined the traditional classroom.\xa0"", 'Innovative education initiatives also include signature programmes such as Renaissance Engineering Programme, CN Yang Scholars Programme, NTU-University Scholars Programme. Designed for high-achieving students, these programmes offer a multidisciplinary curriculum, guidance by top faculty, interdisciplinary and intensive research opportunities, overseas exposure, as well as dialogues with world-class scientists and industry leaders.?', ""Set up jointly with Imperial College London, NTU's medical school, is grooming a new generation of doctors to meet the healthcare needs of Singapore."", ""\nKnown for research excellence and technological innovation, NTU leads the top Asian universities in normalised research citation impact (Clarivate Analytics’ InCites 2016). In the 2018\xa0Nature Index, NTU is placed 29th among the world's universities and first in Singapore."", ""NTU's five-year strategic plan, NTU 2020, builds on strong foundations of NTU 2015 and aims to propel NTU to greater heights of research excellence. The plan focuses on five key research thrusts – Sustainable Earth, Global Asia, Secure Community, Healthy Society and Future Learning. The areas leverage NTU’s diverse strengths, particularly its longstanding expertise in engineering, business and education, and the interfaces these have with various disciplines such as in healthcare, science and the humanities. NTU’s sustainability initiatives have clinched significant competitive research funding and the university is already a global leader in this area."", 'A research-intensive public university, Nanyang Technological University, Singapore (NTU Singapore) has 33,000 undergraduate and postgraduate students in the colleges of Engineering, Business, Science, and Humanities, Arts and Social Sciences, and its Interdisciplinary Graduate School. NTU’s Lee Kong Chian School of Medicine was established jointly with Imperial College London.', '?', 'In 2018, NTU was placed 12th globally in the Quacquarelli Symonds (QS) World University Rankings. It was also ranked the world’s best young university (under 50 years old) by QS for the fifth consecutive year. In addition, NTU was named the world’s fastest rising young university by Times Higher Education in 2015.', 'In engineering and technology, NTU is ranked 5th worldwide in the QS World University Rankings by Subject 2018. With six schools, NTU’s College of Engineering is among the top nine globally for research output and the 5th most cited in the world (Essential Science Indicators 2017).\xa0?', 'Mirroring this success is the College of Science, whose young chemistry department is ranked 10th among universities in the Nature Index 2018. Boosted by research at the Lee Kong Chian School of Medicine, NTU is also strengthening its foothold in areas such as biomedicine and life sciences.', 'The well-established Nanyang Business School is regularly featured among the leading business schools in Asia, with its MBA programme consistently rated top in Singapore since 2004 by The Economist.', ""\nIn higher education, NTU is driving new pedagogies so that millennials can learn more effectively in this digital age. Part of NTU's education strategy is the flipped classroom model of learning. The centrepiece of this new way of learning is The Hive, a groundbreaking learning facility that has been described by CNN as having redefined the traditional classroom.\xa0"", 'Innovative education initiatives also include signature programmes such as Renaissance Engineering Programme, CN Yang Scholars Programme, NTU-University Scholars Programme. Designed for high-achieving students, these programmes offer a multidisciplinary curriculum, guidance by top faculty, interdisciplinary and intensive research opportunities, overseas exposure, as well as dialogues with world-class scientists and industry leaders.?', ""Set up jointly with Imperial College London, NTU's medical school, is grooming a new generation of doctors to meet the healthcare needs of Singapore."", ""\nKnown for research excellence and technological innovation, NTU leads the top Asian universities in normalised research citation impact (Clarivate Analytics’ InCites 2016). In the 2018\xa0Nature Index, NTU is placed 29th among the world's universities and first in Singapore."", ""NTU's five-year strategic plan, NTU 2020, builds on strong foundations of NTU 2015 and aims to propel NTU to greater heights of research excellence. The plan focuses on five key research thrusts – Sustainable Earth, Global Asia, Secure Community, Healthy Society and Future Learning. The areas leverage NTU’s diverse strengths, particularly its longstanding expertise in engineering, business and education, and the interfaces these have with various disciplines such as in healthcare, science and the humanities. NTU’s sustainability initiatives have clinched significant competitive research funding and the university is already a global leader in this area.""]","['NANYANG TECHNOLOGICAL UNIVERSITY, 50 NANYANG AVENUE 639798']",['Project Officer'],"['Contract, Full Time']",['Professional'],"['Engineering, Sciences / Laboratory / R&D']",[],['Monthly'],"['  ', '  ', '  ']",['  ']
8,,['21 applications'],['Posted 05 May 2019'],['Closing on 04 Jun 2019'],['HUBBLE PTE. LTD.'],[],"['ONE PEMIMPIN, 1 PEMIMPIN DRIVE 576151']",['Business Development Manager'],['Full Time'],['Manager'],"['Building and Construction, Information Technology, Sales / Retail ']",[],['Monthly'],"['  ', '  ', '  ', '  ', '  ', '  ', '  ', '  ', '  ', '  ', '  ', '  ', '  ', '  ']",[]
9,,['48 applications'],['Posted 05 May 2019'],['Closing on 04 Jun 2019'],['MINISTRY OF FOOTBALL PRIVATE LIMITED'],"['\n', '\n', '\n', '\n', '\n', '\n', '\n', '\n', '\n', '\n', '\n', '\n', '\n', '\n', '\n', '\n', '\n', '\n', '\n', '\n', '\n', '\n', '\n', '\n', '\n', '\n', '\n', '\n', '\n', '\n', '\n', '\n']","['KITCHENER COMPLEX, 808 FRENCH ROAD 200808']",['Administrative Assistant'],['Freelance'],['Fresh/entry level'],['Admin / Secretarial'],[],[],"['  ', '  ', '  ', '  ', '  ', '  ', '  ', '  ', '  ', '  ', '  ', '  ', '  ', '  ']","['  ', '  ', '  ', '  ', '  ', '  ', '  ', '  ', '  ', '  ', '  ', '  ', '  ', '  ']"
